'Date',2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25
'DAC_VOLTAGE_GAIN_8',-41583.0,-41584.0,-41585.0,-41596.0,-41596.0,-41594.0,-41594.0,-41595.0,-41595.0,-41592.0,-41593.0,-41593.0,-41592.0,-41592.0,-41592.0,-41592.0,-41592.0,-41592.0,-41583.0,-41584.0
'DAC_VOLTAGE_OFFSET_8',641287.0,641251.0,641270.0,641205.0,641214.0,641233.0,641240.0,641230.0,641232.0,641246.0,641244.0,641246.0,641248.0,641243.0,641250.0,641247.0,641252.0,641275.0,641295.0,641290.0
'ADC_U_LOAD_GAIN_8',2753.0,2752.0,2753.0,2752.0,2752.0,2752.0,2752.0,2751.0,2751.0,2752.0,2752.0,2752.0,2752.0,2752.0,2752.0,2752.0,2752.0,2752.0,2753.0,2753.0
'ADC_U_LOAD_OFFSET_8',-560.0,-551.0,-546.0,-463.0,-492.0,-469.0,-483.0,-486.0,-515.0,-507.0,-482.0,-473.0,-481.0,-496.0,-494.0,-493.0,-497.0,-505.0,-550.0,-533.0
'ADC_U_REGULATOR_GAIN_8',1887.0,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0,1887.0,1886.0,1886.0,1886.0,1887.0,1886.0,1886.0,1886.0,1887.0,1886.0,1886.0
'ADC_U_REGULATOR_OFFSET_8',-584.0,-597.0,-577.0,-536.0,-520.0,-545.0,-541.0,-543.0,-550.0,-529.0,-520.0,-552.0,-540.0,-531.0,-540.0,-541.0,-558.0,-545.0,-604.0,-588.0
'ADC_I_MON_GAIN_8',-296143.0,-295956.0,-296029.0,-296074.0,-295974.0,-296044.0,-295732.0,-295915.0,-295459.0,-296183.0,-296304.0,-295960.0,-295865.0,-295909.0,-295960.0,-295884.0,-295848.0,-295834.0,-295905.0,-295867.0
'ADC_I_MON_OFFSET_8',72.0,270.0,409.0,340.0,383.0,334.0,435.0,241.0,171.0,511.0,375.0,212.0,275.0,402.0,262.0,260.0,391.0,441.0,475.0,282.0
'DAC_CURRENT_GAIN_8',654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0
'DAC_CURRENT_OFFSET_8',54.0,54.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,54.0,54.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
'DAC_VOLTAGE_GAIN_9',-41596.0,-41598.0,-41599.0,-41610.0,-41610.0,-41608.0,-41608.0,-41608.0,-41609.0,-41606.0,-41607.0,-41607.0,-41605.0,-41605.0,-41605.0,-41606.0,-41606.0,-41605.0,-41597.0,-41597.0
'DAC_VOLTAGE_OFFSET_9',641515.0,641492.0,641499.0,641445.0,641452.0,641464.0,641472.0,641459.0,641465.0,641483.0,641476.0,641483.0,641476.0,641478.0,641479.0,641484.0,641492.0,641507.0,641535.0,641525.0
'ADC_U_LOAD_GAIN_9',2754.0,2754.0,2754.0,2753.0,2753.0,2753.0,2753.0,2753.0,2753.0,2753.0,2753.0,2753.0,2753.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0
'ADC_U_LOAD_OFFSET_9',-551.0,-485.0,-505.0,-460.0,-450.0,-446.0,-454.0,-450.0,-461.0,-475.0,-476.0,-483.0,-485.0,-470.0,-470.0,-464.0,-443.0,-500.0,-516.0,-528.0
'ADC_U_REGULATOR_GAIN_9',1887.0,1887.0,1887.0,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0,1887.0,1887.0,1887.0,1886.0,1886.0,1887.0,1887.0,1887.0
'ADC_U_REGULATOR_OFFSET_9',-557.0,-568.0,-557.0,-497.0,-495.0,-535.0,-516.0,-516.0,-519.0,-527.0,-531.0,-529.0,-506.0,-517.0,-520.0,-531.0,-538.0,-538.0,-566.0,-546.0
'ADC_I_MON_GAIN_9',-296327.0,-296338.0,-296386.0,-296281.0,-296040.0,-295972.0,-296093.0,-296084.0,-296253.0,-296126.0,-296598.0,-295800.0,-296123.0,-296098.0,-296158.0,-296628.0,-295898.0,-296024.0,-296023.0,-296345.0
'ADC_I_MON_OFFSET_9',-99.0,-123.0,-218.0,-212.0,-147.0,-44.0,-53.0,-46.0,-111.0,-59.0,-121.0,-326.0,-68.0,-94.0,126.0,-225.0,-121.0,-2.0,-142.0,-271.0
'DAC_CURRENT_GAIN_9',663.0,663.0,663.0,663.0,664.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0
'DAC_CURRENT_OFFSET_9',-73.0,-73.0,-73.0,-74.0,-74.0,-73.0,-73.0,-74.0,-73.0,-73.0,-73.0,-73.0,-73.0,-74.0,-73.0,-74.0,-74.0,-73.0,-73.0,-73.0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
'DAC_VOLTAGE_GAIN_10',-41585.0,-41587.0,-41587.0,-41598.0,-41599.0,-41596.0,-41596.0,-41597.0,-41597.0,-41595.0,-41595.0,-41596.0,-41594.0,-41594.0,-41594.0,-41595.0,-41594.0,-41594.0,-41586.0,-41586.0
'DAC_VOLTAGE_OFFSET_10',641406.0,641378.0,641387.0,641333.0,641339.0,641349.0,641354.0,641345.0,641348.0,641373.0,641364.0,641370.0,641360.0,641363.0,641365.0,641373.0,641372.0,641390.0,641415.0,641411.0
'ADC_U_LOAD_GAIN_10',2754.0,2754.0,2754.0,2754.0,2753.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0
'ADC_U_LOAD_OFFSET_10',-543.0,-488.0,-489.0,-434.0,-443.0,-452.0,-459.0,-434.0,-449.0,-469.0,-459.0,-452.0,-483.0,-470.0,-461.0,-465.0,-481.0,-493.0,-542.0,-521.0
'ADC_U_REGULATOR_GAIN_10',1887.0,1887.0,1887.0,1886.0,1886.0,1887.0,1886.0,1886.0,1886.0,1886.0,1887.0,1886.0,1886.0,1886.0,1887.0,1887.0,1886.0,1887.0,1887.0,1887.0
'ADC_U_REGULATOR_OFFSET_10',-528.0,-530.0,-524.0,-489.0,-511.0,-467.0,-504.0,-507.0,-497.0,-505.0,-510.0,-513.0,-527.0,-493.0,-499.0,-495.0,-516.0,-497.0,-525.0,-527.0
'ADC_I_MON_GAIN_10',-296443.0,-296505.0,-296538.0,-296498.0,-296715.0,-296244.0,-296740.0,-296449.0,-296274.0,-296194.0,-296384.0,-296758.0,-296133.0,-296657.0,-296695.0,-296363.0,-296107.0,-296521.0,-296473.0,-296390.0
