'ADC_U_LOAD_GAIN_6',2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
'ADC_U_LOAD_OFFSET_6',21.0,24.0,20.0,23.0,24.0,21.0,26.0,21.0,21.0,21.0,22.0,21.0,22.0,22.0,22.0,24.0,26.0,23.0,18.0,20.0
'ADC_U_REGULATOR_GAIN_6',2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
'ADC_U_REGULATOR_OFFSET_6',23.0,20.0,25.0,25.0,22.0,23.0,23.0,22.0,22.0,23.0,24.0,21.0,23.0,22.0,25.0,21.0,24.0,22.0,23.0,19.0
'ADC_I_MON_GAIN_6',53.0,31.0,36.0,33.0,37.0,41.0,36.0,40.0,40.0,46.0,40.0,47.0,35.0,32.0,37.0,40.0,39.0,43.0,41.0,44.0
'ADC_I_MON_OFFSET_6',421.0,246.0,287.0,262.0,283.0,322.0,274.0,312.0,315.0,367.0,312.0,362.0,275.0,250.0,291.0,319.0,295.0,339.0,324.0,331.0
'DAC_CURRENT_GAIN_6',3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
'DAC_CURRENT_OFFSET_6',28.0,28.0,27.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,27.0,27.0,27.0,27.0,28.0,27.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
'DAC_VOLTAGE_GAIN_7',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_7',7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
'ADC_U_LOAD_GAIN_7',8.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0
'ADC_U_LOAD_OFFSET_7',85.0,88.0,91.0,91.0,88.0,91.0,85.0,85.0,95.0,91.0,89.0,92.0,88.0,93.0,85.0,81.0,84.0,96.0,84.0,86.0
'ADC_U_REGULATOR_GAIN_7',2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
'ADC_U_REGULATOR_OFFSET_7',17.0,12.0,18.0,13.0,19.0,21.0,16.0,17.0,19.0,14.0,17.0,18.0,19.0,15.0,19.0,18.0,16.0,15.0,19.0,17.0
'ADC_I_MON_GAIN_7',3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0
'ADC_I_MON_OFFSET_7',19.0,16.0,20.0,20.0,22.0,19.0,17.0,18.0,21.0,17.0,17.0,19.0,20.0,20.0,16.0,17.0,21.0,15.0,19.0,19.0
'DAC_CURRENT_GAIN_7',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_CURRENT_OFFSET_7',9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
'DAC_VOLTAGE_GAIN_8',1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_8',28.0,29.0,29.0,46.0,45.0,41.0,41.0,42.0,42.0,37.0,38.0,38.0,37.0,37.0,37.0,38.0,37.0,35.0,28.0,28.0
'ADC_U_LOAD_GAIN_8',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ADC_U_LOAD_OFFSET_8',10.0,9.0,10.0,13.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,8.0,11.0,11.0,10.0,10.0,9.0,10.0
'ADC_U_REGULATOR_GAIN_8',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ADC_U_REGULATOR_OFFSET_8',10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0
'ADC_I_MON_GAIN_8',140.0,64.0,69.0,109.0,113.0,115.0,132.0,123.0,125.0,158.0,119.0,126.0,118.0,120.0,98.0,98.0,95.0,74.0,114.0,107.0
'ADC_I_MON_OFFSET_8',76.0,34.0,37.0,61.0,63.0,66.0,73.0,67.0,69.0,89.0,66.0,70.0,64.0,66.0,56.0,56.0,53.0,42.0,65.0,58.0
'DAC_CURRENT_GAIN_8',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'DAC_CURRENT_OFFSET_8',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
'DAC_VOLTAGE_GAIN_9',1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_9',27.0,29.0,29.0,45.0,45.0,40.0,40.0,42.0,41.0,37.0,38.0,38.0,36.0,36.0,36.0,37.0,37.0,34.0,27.0,27.0
'ADC_U_LOAD_GAIN_9',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ADC_U_LOAD_OFFSET_9',11.0,11.0,10.0,10.0,13.0,9.0,14.0,10.0,10.0,10.0,11.0,13.0,10.0,12.0,9.0,13.0,11.0,10.0,9.0,10.0
'ADC_U_REGULATOR_GAIN_9',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ADC_U_REGULATOR_OFFSET_9',9.0,8.0,10.0,9.0,11.0,10.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0
'ADC_I_MON_GAIN_9',142.0,67.0,70.0,74.0,93.0,116.0,112.0,104.0,127.0,120.0,166.0,156.0,125.0,139.0,136.0,147.0,152.0,100.0,138.0,119.0
'ADC_I_MON_OFFSET_9',79.0,37.0,40.0,40.0,51.0,65.0,64.0,57.0,69.0,66.0,93.0,87.0,71.0,79.0,75.0,81.0,84.0,56.0,78.0,64.0
'DAC_CURRENT_GAIN_9',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'DAC_CURRENT_OFFSET_9',0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
'DAC_VOLTAGE_GAIN_10',1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_10',27.0,29.0,29.0,45.0,45.0,41.0,40.0,41.0,42.0,37.0,38.0,38.0,36.0,36.0,36.0,37.0,36.0,34.0,27.0,28.0
'ADC_U_LOAD_GAIN_10',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ADC_U_LOAD_OFFSET_10',9.0,9.0,10.0,11.0,11.0,12.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,8.0
'ADC_U_REGULATOR_GAIN_10',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'ADC_U_REGULATOR_OFFSET_10',9.0,11.0,10.0,9.0,10.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0
'ADC_I_MON_GAIN_10',154.0,76.0,69.0,62.0,79.0,97.0,121.0,107.0,112.0,131.0,152.0,147.0,116.0,119.0,135.0,148.0,117.0,84.0,112.0,118.0
'ADC_I_MON_OFFSET_10',84.0,43.0,39.0,35.0,46.0,53.0,66.0,59.0,62.0,72.0,84.0,81.0,64.0,67.0,76.0,80.0,63.0,46.0,63.0,66.0
'DAC_CURRENT_GAIN_10',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'DAC_CURRENT_OFFSET_10',0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
